 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6464 (Press CTRL+C to quit)
127.0.0.1 - - [03/Jul/2022 21:10:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:10:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:09] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:09] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:09] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:13] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:14] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:15] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:15] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:20] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:20] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:11:20] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:20] "GET /apple-touch-icon.png HTTP/1.1" 404 -
